repo_name,repo_url,login,profile_url,location,country
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,martygo,https://github.com/martygo,"Cape Town, South Africa",South Africa
vscode,https://github.com/microsoft/vscode,toumorokoshi,https://github.com/toumorokoshi,"Seattle, WA",United States
vue,https://github.com/vuejs/vue,neelance,https://github.com/neelance,"Berlin, Germany",Germany
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,Sma-Das,https://github.com/Sma-Das,New York,United States
free-programming-books,https://github.com/EbookFoundation/free-programming-books,MrS4w,https://github.com/MrS4w,Sao Paulo - Brazil,Brazil
vscode,https://github.com/microsoft/vscode,go2sh,https://github.com/go2sh,Braunschweig,Germany
gitignore,https://github.com/github/gitignore,tjgrilley,https://github.com/tjgrilley,Madison WI,United States
free-programming-books,https://github.com/EbookFoundation/free-programming-books,alexanderfefelov,https://github.com/alexanderfefelov,"Zvenigorod, Russia",Russia
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,MartijntenCaat,https://github.com/MartijntenCaat,Zwolle,Netherlands
vue,https://github.com/vuejs/vue,maciej-ka,https://github.com/maciej-ka,Poland,Poland
gitignore,https://github.com/github/gitignore,hcollet,https://github.com/hcollet,"Lausanne, Switzerland",Switzerland
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,marcusviniciusg03dev,https://github.com/marcusviniciusg03dev,"Goiânia, Goiás, Brasil",Brazil
vscode,https://github.com/microsoft/vscode,golf1052,https://github.com/golf1052,"Seattle, WA",United States
free-programming-books,https://github.com/EbookFoundation/free-programming-books,OpenCode,https://github.com/OpenCode,Italy,Italy
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,marcobuontempo,https://github.com/marcobuontempo,Australia,Australia
vscode,https://github.com/microsoft/vscode,sandeep-sen,https://github.com/sandeep-sen,Seattle,United States
gitignore,https://github.com/github/gitignore,troyp,https://github.com/troyp,"Lismore, NSW, Australia",Australia
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,keenborder786,https://github.com/keenborder786,Lahore,پاکستان
free-programming-books,https://github.com/EbookFoundation/free-programming-books,anubhav-qt,https://github.com/anubhav-qt,"Rajasthan, India",India
Python,https://github.com/TheAlgorithms/Python,MaximSmolskiy,https://github.com/MaximSmolskiy,"Saint-Petersburg, Russia",Russia
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,mhasanmeet,https://github.com/mhasanmeet,"Khilkhet, Dhaka",Germany
gitignore,https://github.com/github/gitignore,Visgean,https://github.com/Visgean,Prague,Spain
vscode,https://github.com/microsoft/vscode,lifez,https://github.com/lifez,Thailand,Thailand
vue,https://github.com/vuejs/vue,eddyerburgh,https://github.com/eddyerburgh,London,United Kingdom
free-programming-books,https://github.com/EbookFoundation/free-programming-books,Misterhex,https://github.com/Misterhex,Singapore,Singapore
awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,Unkn0wnCat,https://github.com/Unkn0wnCat,Germany,Germany
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,mahanmashoof,https://github.com/mahanmashoof,"Stockholm, Sweden",Sweden
vue,https://github.com/vuejs/vue,despreston,https://github.com/despreston,Boston,United States
gitignore,https://github.com/github/gitignore,wmarquardt,https://github.com/wmarquardt,Brazil,Brazil
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,chozzz,https://github.com/chozzz,Bali,Indonesia
free-programming-books,https://github.com/EbookFoundation/free-programming-books,yfancc20,https://github.com/yfancc20,Taiwan,Taiwan
vue,https://github.com/vuejs/vue,danielroe,https://github.com/danielroe,"Edinburgh, UK",United Kingdom
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,SBNovaScript,https://github.com/SBNovaScript,"Trumbull, CT",United States
awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,jorgeegomez,https://github.com/jorgeegomez,"Bogotá, Colombia",Colombia
vscode,https://github.com/microsoft/vscode,LuanVSO,https://github.com/LuanVSO,Brasil,Brazil
gitignore,https://github.com/github/gitignore,vvolkgang,https://github.com/vvolkgang,Portugal,Portugal
awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,m1guelpf,https://github.com/m1guelpf,"Lisbon, Portugal",Portugal
public-apis,https://github.com/public-apis/public-apis,toddmotto,https://github.com/toddmotto,"England, UK",United Kingdom
vscode,https://github.com/microsoft/vscode,jswillard,https://github.com/jswillard,"Boulder, CO",Colombia
gitignore,https://github.com/github/gitignore,ericoporto,https://github.com/ericoporto,Rio de Janeiro,Brazil
free-programming-books,https://github.com/EbookFoundation/free-programming-books,w4h4z,https://github.com/w4h4z,Indonesia,Indonesia
gitignore,https://github.com/github/gitignore,lszeremeta,https://github.com/lszeremeta,Poland,Poland
free-programming-books,https://github.com/EbookFoundation/free-programming-books,virendrachandak,https://github.com/virendrachandak,Los Angeles,United States
public-apis,https://github.com/public-apis/public-apis,mikestreety,https://github.com/mikestreety,"Brighton, UK",United Kingdom
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,rishabhv2003,https://github.com/rishabhv2003,India,India
vscode,https://github.com/microsoft/vscode,jasongin,https://github.com/jasongin,"Honolulu, Hawaii, USA",United States
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,bsenst,https://github.com/bsenst,Berlin-Brandenburg,Germany
free-programming-books,https://github.com/EbookFoundation/free-programming-books,vedant-z,https://github.com/vedant-z,India,India
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,Rancho-rachit,https://github.com/Rancho-rachit,Indore,India
vue,https://github.com/vuejs/vue,bartlomieju,https://github.com/bartlomieju,"Warsaw, PL",Poland
