repo_name,repo_url,login,profile_url,location,country,prs_opened,prs_merged,pr_accept_rate,avg_time_to_merge,commits_total,issues_opened,stars_own_repos,contribution_period,activity_frequency,pr_requested_as_reviewer_rate
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,martygo,https://github.com/martygo,"Cape Town, South Africa",South Africa,91,55,60.44,2.26,142,10,127,1,142.0,32.42
vscode,https://github.com/microsoft/vscode,toumorokoshi,https://github.com/toumorokoshi,"Seattle, WA",United States,115,26,22.61,4.16,85,37,4662,45,1.89,11.71
vue,https://github.com/vuejs/vue,neelance,https://github.com/neelance,"Berlin, Germany",Germany,31,13,41.94,10.11,48,14,6923,18,2.67,35.92
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,Sma-Das,https://github.com/Sma-Das,New York,United States,12,0,0.0,1.72,0,29,1694,9,0.0,31.81
free-programming-books,https://github.com/EbookFoundation/free-programming-books,MrS4w,https://github.com/MrS4w,Sao Paulo - Brazil,Brazil,87,57,65.52,5.97,76,47,3922,3,25.33,27.97
vscode,https://github.com/microsoft/vscode,go2sh,https://github.com/go2sh,Braunschweig,Germany,24,9,37.5,2.85,24,20,5744,50,0.48,32.0
gitignore,https://github.com/github/gitignore,tjgrilley,https://github.com/tjgrilley,Madison WI,United States,124,21,16.94,9.61,81,45,6641,43,1.88,32.98
free-programming-books,https://github.com/EbookFoundation/free-programming-books,alexanderfefelov,https://github.com/alexanderfefelov,"Zvenigorod, Russia",Russia,13,2,15.38,6.1,7,24,7476,46,0.15,17.08
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,MartijntenCaat,https://github.com/MartijntenCaat,Zwolle,Netherlands,144,16,11.11,12.43,24,33,614,44,0.55,3.65
vue,https://github.com/vuejs/vue,maciej-ka,https://github.com/maciej-ka,Poland,Poland,1,0,0.0,10.32,0,7,1953,5,0.0,12.89
gitignore,https://github.com/github/gitignore,hcollet,https://github.com/hcollet,"Lausanne, Switzerland",Switzerland,98,10,10.2,13.57,47,32,988,49,0.96,40.01
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,marcusviniciusg03dev,https://github.com/marcusviniciusg03dev,"Goiânia, Goiás, Brasil",Brazil,45,19,42.22,12.29,81,13,8457,59,1.37,48.5
vscode,https://github.com/microsoft/vscode,golf1052,https://github.com/golf1052,"Seattle, WA",United States,48,15,31.25,7.21,61,42,4790,36,1.69,22.92
free-programming-books,https://github.com/EbookFoundation/free-programming-books,OpenCode,https://github.com/OpenCode,Italy,Italy,15,7,46.67,8.06,35,7,2408,22,1.59,46.57
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,marcobuontempo,https://github.com/marcobuontempo,Australia,Australia,41,5,12.2,10.64,22,1,2677,49,0.45,28.59
vscode,https://github.com/microsoft/vscode,sandeep-sen,https://github.com/sandeep-sen,Seattle,United States,150,7,4.67,8.8,28,25,319,10,2.8,45.53
gitignore,https://github.com/github/gitignore,troyp,https://github.com/troyp,"Lismore, NSW, Australia",Australia,53,35,66.04,13.9,127,29,6715,20,6.35,48.75
